日付,コード,社名,業種,セクター,ウエート
2024/8/30,8015,豊田通商,商社,素材,0.71%
2024/8/30,8031,三井物産,商社,素材,0.53%
2024/8/30,8035,東京エレクトロン,電気機器,技術,6.55%
2024/8/30,8053,住友商事,商社,素材,0.29%
2024/8/30,8058,三菱商事,商社,素材,0.76%
2024/8/30,8233,高島屋,小売業,消費,0.09%
2024/8/30,8252,丸井グループ,小売業,消費,0.21%
2024/8/30,8253,クレディセゾン,その他金融,金融,0.27%
2024/8/30,8267,イオン,小売業,消費,0.31%
2024/8/30,8304,あおぞら銀行,銀行,金融,0.02%
2024/8/30,8306,三菱ＵＦＪフィナンシャル・グループ,銀行,金融,0.13%
2024/8/30,8308,りそなホールディングス,銀行,金融,0.01%
2024/8/30,8309,三井住友トラスト・ホールディングス,銀行,金融,0.06%
2024/8/30,8316,三井住友フィナンシャルグループ,銀行,金融,0.08%
2024/8/30,8331,千葉銀行,銀行,金融,0.10%
2024/8/30,8354,ふくおかフィナンシャルグループ,銀行,金融,0.06%
2024/8/30,8411,みずほフィナンシャルグループ,銀行,金融,0.03%
2024/8/30,8591,オリックス,その他金融,金融,0.31%
2024/8/30,8601,大和証券グループ本社,証券,金融,0.09%
2024/8/30,8604,野村ホールディングス,証券,金融,0.07%
2024/8/30,8630,ＳＯＭＰＯホールディングス,保険,金融,0.17%
2024/8/30,8697,日本取引所グループ,その他金融,金融,0.28%
2024/8/30,8725,ＭＳ＆ＡＤインシュアランスグループホールディングス,保険,金融,0.25%
2024/8/30,8750,第一生命ホールディングス,保険,金融,0.04%
2024/8/30,8766,東京海上ホールディングス,保険,金融,0.70%
2024/8/30,8795,Ｔ＆Ｄホールディングス,保険,金融,0.04%
2024/8/30,8801,三井不動産,不動産,資本財・その他,0.40%
2024/8/30,8802,三菱地所,不動産,資本財・その他,0.21%
2024/8/30,8804,東京建物,不動産,資本財・その他,0.10%
2024/8/30,8830,住友不動産,不動産,資本財・その他,0.42%
2024/8/30,9001,東武鉄道,鉄道・バス,運輸・公共,0.04%
2024/8/30,9005,東急,鉄道・バス,運輸・公共,0.08%
2024/8/30,9007,小田急電鉄,鉄道・バス,運輸・公共,0.07%
2024/8/30,9008,京王電鉄,鉄道・バス,運輸・公共,0.06%
2024/8/30,9009,京成電鉄,鉄道・バス,運輸・公共,0.19%
2024/8/30,9020,東日本旅客鉄道,鉄道・バス,運輸・公共,0.07%
2024/8/30,9021,西日本旅客鉄道,鉄道・バス,運輸・公共,0.05%
2024/8/30,9022,東海旅客鉄道,鉄道・バス,運輸・公共,0.14%
2024/8/30,9064,ヤマトホールディングス,陸運,運輸・公共,0.14%
2024/8/30,9101,日本郵船,海運,運輸・公共,0.13%
2024/8/30,9104,商船三井,海運,運輸・公共,0.13%
2024/8/30,9107,川崎汽船,海運,運輸・公共,0.16%
2024/8/30,9147,ＮＩＰＰＯＮＥＸＰＲＥＳＳホールディングス,陸運,運輸・公共,0.06%
2024/8/30,9201,日本航空,空運,運輸・公共,0.21%
2024/8/30,9202,ＡＮＡホールディングス,空運,運輸・公共,0.02%
2024/8/30,9301,三菱倉庫,倉庫,運輸・公共,0.22%
2024/8/30,9432,日本電信電話,通信,技術,0.13%
2024/8/30,9433,ＫＤＤＩ,通信,技術,2.49%
2024/8/30,9434,ソフトバンク,通信,技術,0.17%
2024/8/30,9501,東京電力ホールディングス,電力,運輸・公共,0.01%
2024/8/30,9502,中部電力,電力,運輸・公共,0.02%
2024/8/30,9503,関西電力,電力,運輸・公共,0.02%
2024/8/30,9531,東京瓦斯,ガス,運輸・公共,0.06%
2024/8/30,9532,大阪瓦斯,ガス,運輸・公共,0.06%
2024/8/30,9602,東宝,サービス,消費,0.05%
2024/8/30,9613,ＮＴＴデータグループ,通信,技術,0.94%
2024/8/30,9735,セコム,サービス,消費,0.90%
2024/8/30,9766,コナミグループ,サービス,消費,1.11%
2024/8/30,9843,ニトリホールディングス,小売業,消費,0.92%
2024/8/30,9983,ファーストリテイリング,小売業,消費,11.84%
2024/8/30,9984,ソフトバンクグループ,通信,技術,4.27%
